Producto,Categoría,Precio (COP),Contenido,Descripción
Aceite de Coco,Aceites y Vinagres,32000,220ml,"Aceite de coco puro, ideal para cocinar, aliñar ensaladas o sumar a tus batidos. Su textura cremosa y aroma natural lo hacen versátil para el día a día, aportando un toque tropical a tus preparaciones."
Aceite de Coco,Aceites y Vinagres,60000,420ml,"Aceite de coco puro en presentación familiar, perfecto para cocinar, hornear o complementar tus recetas. Es versátil, de aroma suave y te acompaña por más tiempo en tu cocina saludable."
Vinagre de Manzana Moringa y Penca Sábila,Aceites y Vinagres,50000,500ml,"Vinagre de manzana fermentado con el toque de moringa y penca sábila. Ideal para aliñar ensaladas, aderezos y conservar alimentos. Su sabor ácido y fresco realza tus comidas de forma natural."
Vinagre de Manzana UAU,Aceites y Vinagres,32000,500ml,"Vinagre de sidra de manzana fermentado naturalmente, clásico y equilibrado. Perfecto para ensaladas, vinagretas, marinados y bebidas diluidas. Un básico en tu cocina para dar sabor sin aditivos."
Vinagre de Manzana y Curcuma,Aceites y Vinagres,50000,500ml,"Vinagre de manzana con cúrcuma, una combinación de sabor ácido y especiado. Úsalo en ensaladas, aliños y marinados para dar un toque dorado y diferente a tus preparaciones cotidianas."
Vinagre de Sidra de Manzana,Aceites y Vinagres,45000,500ml,"Vinagre de sidra de manzana 100% fermentado, con su sabor ácido característico. Ideal para ensaladas, aliños, conservas y marinados. Aporta frescura y equilibrio a tus platos de forma natural."
Crema de Almendra,Aderezos,30000,210gr,"Crema de almendra suave y cremosa, elaborada con almendras tostadas. Perfecta para untar en pan, galletas o frutas, y para darle cuerpo a tus batidos y recetas dulces."
Crema de Macadamia,Aderezos,44000,200gr,"Crema de macadamia delicada y untuosa, con el sabor dulce característico de este fruto seco. Ideal para untar, endulzar tostadas o preparar salsas y postres con un toque premium."
Crema de Maní Crunch,Aderezos,20000,220gr,"Crema de maní crunch con trocitos crujientes, intensa y deliciosa. Perfecta para untar en pan, sumar a batidos o disfrutar sola. Una opción rica en proteína para tu energía diaria."
Crema de Marañón,Aderezos,40000,200gr,"Crema de marañón suave y cremosa, con un sabor dulce y delicado. Versátil para untar, preparar salsas, postres o leches vegetales caseras. Un fruto seco que suma textura y sabor."
